Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 28316_Rep1	Peptides 28316_Rep2	Peptides 28316_Rep3	Peptides 28317_Rep1	Peptides 28317_Rep2	Peptides 28317_Rep3	Peptides No_tag_Rep1	Razor + unique peptides 28316_Rep1	Razor + unique peptides 28316_Rep2	Razor + unique peptides 28316_Rep3	Razor + unique peptides 28317_Rep1	Razor + unique peptides 28317_Rep2	Razor + unique peptides 28317_Rep3	Razor + unique peptides No_tag_Rep1	Unique peptides 28316_Rep1	Unique peptides 28316_Rep2	Unique peptides 28316_Rep3	Unique peptides 28317_Rep1	Unique peptides 28317_Rep2	Unique peptides 28317_Rep3	Unique peptides No_tag_Rep1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 28316_Rep1	Identification type 28316_Rep2	Identification type 28316_Rep3	Identification type 28317_Rep1	Identification type 28317_Rep2	Identification type 28317_Rep3	Identification type No_tag_Rep1	Sequence coverage 28316_Rep1 [%]	Sequence coverage 28316_Rep2 [%]	Sequence coverage 28316_Rep3 [%]	Sequence coverage 28317_Rep1 [%]	Sequence coverage 28317_Rep2 [%]	Sequence coverage 28317_Rep3 [%]	Sequence coverage No_tag_Rep1 [%]	Intensity	Intensity 28316_Rep1	Intensity 28316_Rep2	Intensity 28316_Rep3	Intensity 28317_Rep1	Intensity 28317_Rep2	Intensity 28317_Rep3	Intensity No_tag_Rep1	iBAQ	iBAQ 28316_Rep1	iBAQ 28316_Rep2	iBAQ 28316_Rep3	iBAQ 28317_Rep1	iBAQ 28317_Rep2	iBAQ 28317_Rep3	iBAQ No_tag_Rep1	LFQ intensity 28316_Rep1	LFQ intensity 28316_Rep2	LFQ intensity 28316_Rep3	LFQ intensity 28317_Rep1	LFQ intensity 28317_Rep2	LFQ intensity 28317_Rep3	LFQ intensity No_tag_Rep1	MS/MS count 28316_Rep1	MS/MS count 28316_Rep2	MS/MS count 28316_Rep3	MS/MS count 28317_Rep1	MS/MS count 28317_Rep2	MS/MS count 28317_Rep3	MS/MS count No_tag_Rep1	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YBR029C	YBR029C	1	1	1	sp|YBR029C|CDS1_YEAST NCSL01000019.1 131171-132544 ORF Verified Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase); an enzyme that catalyzes that conversion of CTP + phosphate into diphosphate + CDP-diaclglyerol, a critical step in the synthes	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2.6	2.6	2.6	51.822	457	457	0.0011319	2.0326							By MS/MS	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1				176	2723	True	2882	10517	9366	9366		
YBR034C	YBR034C	2	2	2	sp|YBR034C|HMT1_YEAST NCSL01000019.1 123388-124434 ORF Verified Nuclear SAM-dependent mono- and asymmetric methyltransferase; modifies hnRNPs, including Npl3p and Hrp1p, affecting their activity and nuclear export; methylates U1 snRNP protein Snp1p, riboso	1	2	2	2	2	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	8.6	8.6	8.6	39.728	348	348	0	3.1162	By MS/MS						By matching	8.6	0	0	0	0	0	3.2	1713700	1616500	0	0	0	0	0	97225	95207	89806	0	0	0	0	0	5401.4	220680	0	0	0	0	0	0	1	0	0	0	0	0	0	1				177	2920;10196	True;True	3098;10875	11263;11264;37930	10064;33298	10064;33298		
YBR035C	YBR035C	4	4	4	sp|YBR035C|PDX3_YEAST NCSL01000019.1 122409-123095 ORF Verified Pyridoxine (pyridoxamine) phosphate oxidase; has homologs in E. coli and Myxococcus xanthus; transcription is under the general control of nitrogen metabolism GN=PDX3 PE=1 SV=1	1	4	4	4	3	2	2	0	2	2	2	3	2	2	0	2	2	2	3	2	2	0	2	2	2	22.4	22.4	22.4	26.908	228	228	0	10.771	By MS/MS	By MS/MS	By MS/MS		By matching	By MS/MS	By matching	18	12.3	12.3	0	12.3	12.3	12.7	6522400	2327600	251410	1929200	0	1104400	649260	260590	543530	193970	20951	160760	0	92030	54105	21716	0	0	532760	0	260700	306900	0	4	2	3	0	0	2	0	11				178	3213;4448;10289;14291	True;True;True;True	3409;4699;10969;15211	12317;12318;12319;12320;12321;12322;16746;38275;38276;38277;53495;53496;53497;53498	10943;10944;10945;10946;10947;14712;33600;33601;47122;47123;47124	10943;14712;33601;47122		
YBR039W	YBR039W	20	20	20	sp|YBR039W|ATP3_YEAST NCSL01000019.1 112844-113779 ORF Verified Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis GN=ATP3 PE=1 SV=1	1	20	20	20	19	7	8	9	10	9	14	19	7	8	9	10	9	14	19	7	8	9	10	9	14	67.2	67.2	67.2	34.35	311	311	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	65	34.4	37.6	29.9	43.7	39.2	41.5	321260000	180720000	19293000	34319000	1990400	47097000	20761000	17080000	17848000	10040000	1071800	1906600	110580	2616500	1153400	948890	16183000	10504000	11858000	9238200	10662000	12407000	14908000	24	6	9	4	13	11	12	79				179	1462;1796;2848;3582;4650;5376;5377;6537;7144;8779;9236;9552;10011;10680;11321;11360;13401;13429;13430;16047	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1551;1897;1898;3017;3797;4910;5692;5693;6913;7555;9287;9766;9767;10190;10674;11385;12061;12100;14259;14291;14292;17059	5798;5799;5800;5801;7011;7012;7013;7014;7015;11014;11015;11016;11017;11018;11019;13644;13645;13646;13647;13648;13649;13650;17531;17532;20413;20414;20415;20416;20417;20418;20419;20420;20421;20422;20423;20424;20425;24449;24450;24451;24452;24453;26580;26581;26582;32536;32537;32538;32539;32540;34127;34128;34129;35480;35481;37121;37122;37123;39878;39879;39880;39881;39882;39883;39884;39885;39886;42024;42099;42100;49740;49741;49891;49892;49893;49894;49895;49896;49897;49898;49899;49900;49901;49902;49903;49904;60129;60130	5178;5179;5180;5181;6240;6241;6242;6243;9827;9828;9829;9830;12080;12081;12082;12083;12084;12085;12086;15380;15381;15382;17945;17946;17947;17948;17949;17950;17951;17952;17953;17954;17955;17956;21519;21520;21521;21522;21523;21524;21525;21526;21527;21528;23329;28541;28542;28543;28544;29898;29899;31101;32548;32549;35090;35091;35092;35093;35094;35095;35096;36945;37007;43782;43911;43912;43913;43914;43915;43916;43917;43918;43919;43920;43921;43922;43923;43924;43925;52854	5181;6241;9827;12085;15382;17952;17956;21526;23329;28541;29899;31101;32549;35090;36945;37007;43782;43913;43917;52854	198;199;200	77;251;255
YBR041W	YBR041W	3	3	3	sp|YBR041W|FAT1_YEAST NCSL01000019.1 109079-111088 ORF Verified Very long chain fatty acyl-CoA synthetase and fatty acid transporter; activates imported fatty acids with a preference for very long lengths (C20-C26); has a separate function in the transport	1	3	3	3	2	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0	1	6.6	6.6	6.6	77.141	669	669	0	6.4157	By MS/MS						By MS/MS	3.9	0	0	0	0	0	2.7	930070	812330	0	0	0	0	0	117740	23848	20829	0	0	0	0	0	3019	110900	0	0	0	0	0	0	2	0	0	0	0	0	2	4				180	4656;7173;11718	True;True;True	4916;7584;12481	17545;26632;43414	15392;23377;38198;38199	15392;23377;38199		
YBR046C	YBR046C	14	14	14	sp|YBR046C|ZTA1_YEAST NCSL01000019.1 97840-98844 ORF Verified NADPH-dependent quinone reductase; GFP-tagged protein localizes to the cytoplasm and nucleus; has similarity to E. coli quinone oxidoreductase and to human zeta-crystallin GN=ZTA1 PE=1 SV=1	1	14	14	14	13	3	5	0	4	5	2	13	3	5	0	4	5	2	13	3	5	0	4	5	2	53.6	53.6	53.6	37.018	334	334	0	19.26	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	46.7	13.8	23.4	0	18	25.1	6	17985000	7956600	1327100	4605700	0	1901200	1805300	388850	899240	397830	66357	230280	0	95060	90266	19443	880840	601820	1110700	0	536000	916760	456740	14	2	6	0	2	6	2	32				181	2081;2344;4259;4260;5058;5082;5151;6583;7029;9160;14571;15640;16085;16191	True;True;True;True;True;True;True;True;True;True;True;True;True;True	2210;2488;4498;4499;5353;5377;5451;6961;7433;9679;15509;16636;17098;17213	7971;7972;7973;7974;8948;16023;16024;19077;19078;19171;19172;19499;19500;19501;19502;24654;24655;26203;33900;33901;54534;54535;54536;54537;54538;58682;58683;60218;60219;60220;60221;60222;60628	7100;7101;7102;7103;7981;14103;14104;16751;16752;16849;17137;17138;17139;17140;17141;17142;21701;21702;23016;23017;29690;48060;48061;48062;48063;51601;51602;52921;52922;52923;52924;52925;52926;53272	7102;7981;14103;14104;16751;16849;17137;21702;23016;29690;48060;51602;52924;53272	201	112
YDR025W;YBR048W	YDR025W;YBR048W	10;10	10;10	10;10	sp|YDR025W|RPS11A_YEAST NCSL01000013.1 21008-21817 ORF Verified Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; N-terminally propionylated in vivo; RPS11A has a paralog, RPS11B, that 	2	10	10	10	9	6	9	5	7	6	8	9	6	9	5	7	6	8	9	6	9	5	7	6	8	55.8	55.8	55.8	17.749	156	156;156	0	70.678	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	50	39.1	55.8	37.2	42.9	42.3	50	303170000	194820000	22259000	30651000	1558900	28351000	9365800	16158000	30317000	19482000	2225900	3065100	155890	2835100	936580	1615800	23925000	8802800	6125200	8537700	7440800	6589800	14398000	13	8	8	3	5	5	7	49				182	1373;6237;10458;11046;11292;12754;13078;13079;15037;15038	True;True;True;True;True;True;True;True;True;True	1458;6596;11150;11774;12029;13578;13919;13920;15993;15994	5505;5506;5507;5508;5509;5510;23472;23473;23474;23475;23476;23477;23478;38902;38903;38904;38905;38906;38907;38908;38909;41185;41186;41187;41188;41189;41190;41949;41950;41951;47268;47269;47270;47271;47272;48453;48454;48455;48456;48457;48458;48459;48460;48461;48462;48463;48464;48465;48466;48467;56323;56324;56325;56326;56327;56328;56329;56330;56331;56332	4907;4908;4909;4910;20656;20657;20658;20659;20660;20661;20662;34174;34175;34176;34177;34178;34179;34180;34181;36245;36246;36247;36248;36872;36873;41645;41646;41647;41648;41649;42670;42671;42672;42673;42674;42675;42676;42677;42678;42679;42680;42681;42682;49585;49586;49587;49588;49589;49590;49591	4907;20661;34177;36248;36872;41645;42670;42674;49585;49587		
YBR052C	YBR052C	9	9	9	sp|YBR052C|RFS1_YEAST NCSL01000019.1 90001-90633 ORF Verified Protein of unknown function; member of a flavodoxin-like fold protein family that includes Pst2p and Ycp4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctat	1	9	9	9	9	2	2	0	2	3	5	9	2	2	0	2	3	5	9	2	2	0	2	3	5	51	51	51	22.921	210	210	0	11.483	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By MS/MS	By MS/MS	51	10.5	10.5	0	10.5	20	19.5	19516000	12441000	728080	2458000	0	1530100	877990	1480200	1626300	1036800	60673	204830	0	127510	73166	123350	1119200	0	1138100	0	464300	515550	1396700	9	1	2	0	1	2	3	18				183	3215;3671;4571;5527;13253;13254;13647;14110;14511	True;True;True;True;True;True;True;True;True	3411;3888;4830;5851;14101;14102;14523;15011;15447	12325;13951;13952;13953;13954;13955;17248;17249;20950;20951;20952;20953;20954;20955;49064;49065;49066;49067;49068;49069;50665;50666;52485;54350;54351	10950;12345;12346;12347;12348;15149;15150;18422;18423;18424;18425;43209;43210;43211;43212;44586;46226;47900	10950;12348;15150;18423;43209;43212;44586;46226;47900		
YBR053C	YBR053C	6	6	6	sp|YBR053C|dubious48_YEAST NCSL01000019.1 88602-89678 ORF Uncharacterized Putative protein of unknown function; induced by cell wall perturbation GN=dubious48 PE=1 SV=1	1	6	6	6	6	0	0	0	0	1	1	6	0	0	0	0	1	1	6	0	0	0	0	1	1	23.2	23.2	23.2	40.421	358	358	0	10.051	By MS/MS					By MS/MS	By matching	23.2	0	0	0	0	4.5	2.8	5081200	4847400	0	0	0	0	0	233770	220920	210760	0	0	0	0	0	10164	661750	0	0	0	0	0	0	6	0	0	0	0	1	0	7				184	1802;2481;6402;10318;12341;15017	True;True;True;True;True;True	1904;2632;6770;11001;13140;15972	7030;7031;9515;9516;23940;38396;45783;56258	6255;6256;8481;21072;33733;40305;49531	6255;8481;21072;33733;40305;49531	202	281
YBR054W	YBR054W	4	2	2	sp|YBR054W|YRO2_YEAST NCSL01000019.1 85225-86250 ORF Verified Protein with a putative role in response to acid stress; null mutant is sensitive to acetic acid; transcription is regulated by Haa1p and induced in the presence of acetic acid; protein observed	1	4	2	2	3	3	3	0	2	3	2	1	1	1	0	0	1	0	1	1	1	0	0	1	0	15.2	8.2	8.2	38.364	341	341	0.0086372	1.0356	By MS/MS	By MS/MS	By matching		By matching	By matching	By matching	12.6	9.7	12.6	0	7	12.6	7	2441100	1383000	99530	624560	0	0	333990	0	221910	125730	9048.1	56778	0	0	30362	0	0	0	0	0	0	155200	0	1	1	0	0	0	0	0	2				185	6333;7846;9450;15957	False;True;True;False	6699;8297;10066;16966	23718;23719;23720;23721;23722;23723;29143;29144;29145;35128;59776;59777;59778;59779;59780;59781;59782;59783;59784;59785;59786;59787	20875;20876;20877;20878;25579;30776;52558;52559;52560;52561;52562;52563;52564;52565	20876;25579;30776;52559		
YBR055C	YBR055C	1	1	1	sp|YBR055C|PRP6_YEAST NCSL01000019.1 82064-84763 ORF Verified Splicing factor; component of the U4/U6-U5 snRNP complex GN=PRP6 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1.9	1.9	1.9	104.18	899	899	0.0011217	1.98	By MS/MS	By MS/MS	By MS/MS					1.9	1.9	1.9	0	0	0	0	33025000	206000	20636000	12183000	0	0	0	0	647540	4039.2	404630	238870	0	0	0	0	0	0	3362700	0	0	0	0	1	0	2	0	0	0	0	3				186	7854	True	8306	29164;29165;29166	25595;25596;25597;25598	25597		
YBR056W	YBR056W	8	8	8	sp|YBR056W|dubious49_YEAST NCSL01000019.1 79981-81486 ORF Verified Putative glycoside hydrolase of the mitochondrial intermembrane space GN=dubious49 PE=1 SV=1	1	8	8	8	8	0	2	0	1	0	5	8	0	2	0	1	0	5	8	0	2	0	1	0	5	15.4	15.4	15.4	57.821	501	501	0	8.8913	By MS/MS		By matching		By matching		By MS/MS	15.4	0	4	0	2.2	0	9.8	9943200	7320600	0	1148900	0	251750	0	1222000	397730	292820	0	45955	0	10070	0	48878	818430	0	0	0	0	0	1402900	5	0	0	0	0	0	5	10				187	3540;4230;4497;4653;7800;11833;13135;15396	True;True;True;True;True;True;True;True	3753;4461;4750;4913;8250;12600;13978;16372	13519;15916;15917;16936;16937;16938;16939;17539;17540;29002;29003;43777;43778;43779;48698;57699	11980;14009;14876;15385;25446;25447;38521;38522;42881;50754	11980;14009;14876;15385;25447;38522;42881;50754		
YBR058C	YBR058C	5	5	5	sp|YBR058C|UBP14_YEAST NCSL01000019.1 73206-75551 ORF Verified Ubiquitin-specific protease; specifically disassembles unanchored ubiquitin chains; involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; similar to human isopeptidase T GN=UBP14 PE=1 SV	1	5	5	5	5	0	0	0	0	0	1	5	0	0	0	0	0	1	5	0	0	0	0	0	1	9.1	9.1	9.1	88.591	781	781	0	5.8761	By MS/MS						By MS/MS	9.1	0	0	0	0	0	1.7	2780000	2656500	0	0	0	0	0	123500	71282	68115	0	0	0	0	0	3166.7	362650	0	0	0	0	0	0	5	0	0	0	0	0	1	6				188	198;5901;8675;12247;12746	True;True;True;True;True	207;6237;9179;13034;13570	855;22209;32206;45434;47235;47236	727;19543;28272;40005;41614;41615	727;19543;28272;40005;41614		
YBR062C	YBR062C	1	1	1	sp|YBR062C|dubious52_YEAST NCSL01000019.1 62627-63251 ORF Uncharacterized Protein of unknown function that interacts with Msb2p; may play a role in activation of the filamentous growth pathway GN=dubious52 PE=1 SV=1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	7.8	7.8	7.8	20.578	180	180	0	8.9776	By MS/MS							7.8	0	0	0	0	0	0	118450	118450	0	0	0	0	0	0	11845	11845	0	0	0	0	0	0	16171	0	0	0	0	0	0	2	0	0	0	0	0	0	2				189	12848	True	13676	47633;47634	41955;41956	41956		
YBR070C	YBR070C	1	1	1	sp|YBR070C|ALG14_YEAST NCSL01000019.1 49275-49988 ORF Verified Component of UDP-GlcNAc transferase; required for second step of dolichyl-linked oligosaccharide synthesis; anchors catalytic subunit Alg13p to ER membrane; similar to bacterial and human glyco	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	5.1	5.1	5.1	27.012	237	237	0	5.8334	By MS/MS							5.1	0	0	0	0	0	0	279590	279590	0	0	0	0	0	0	21507	21507	0	0	0	0	0	0	38169	0	0	0	0	0	0	1	0	0	0	0	0	0	1				190	8176	True	8645	30349	26651	26651		
YBR072W	YBR072W	9	9	9	sp|YBR072W|HSP26_YEAST NCSL01000019.1 46552-47196 ORF Verified Small heat shock protein (sHSP) with chaperone activity; forms hollow, sphere-shaped oligomers that suppress unfolded proteins aggregation; long-lived protein that is preferentially retained in	1	9	9	9	8	1	3	0	3	4	2	8	1	3	0	3	4	2	8	1	3	0	3	4	2	58.4	58.4	58.4	23.852	214	214	0	15.774	By MS/MS	By matching	By MS/MS		By MS/MS	By MS/MS	By MS/MS	48.1	8.4	26.2	0	20.6	30.8	12.1	25914000	13801000	1088000	4736500	0	3683400	2378400	226480	2159500	1150100	90665	394710	0	306950	198200	18873	1433500	0	1433000	0	1128600	1087800	0	10	0	1	0	2	3	2	18				191	1662;3257;7048;10260;10261;11406;11797;12859;14621	True;True;True;True;True;True;True;True;True	1756;3454;7452;10939;10940;12147;12563;13687;15564	6495;6496;6497;6498;6499;6500;12493;26253;38194;38195;42199;43656;43657;47689;47690;47691;47692;47693;54748;54749;54750;54751;54752	5794;5795;5796;5797;5798;5799;11084;11085;23056;33528;33529;37104;38418;42007;42008;48241;48242;48243;48244	5795;11085;23056;33528;33529;37104;38418;42007;48242		
YBR074W	YBR074W	1	1	1	sp|YBR074W|PFF1_YEAST NCSL01000019.1 40008-42938 ORF Verified Multi-spanning vacuolar membrane protease; glycosylated transmembrane protein bearing homology to the M28 family of metalloproteases; has a lumenal-facing protease domain; proposed role in vacuo	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1.2	1.2	1.2	111.07	976	976	0.0030832	1.4386	By MS/MS							1.2	0	0	0	0	0	0	349790	349790	0	0	0	0	0	0	8531.4	8531.4	0	0	0	0	0	0	47752	0	0	0	0	0	0	1	0	0	0	0	0	0	1				192	15231	True	16200	57005	50179	50179		
YBR078W	YBR078W	3	3	3	sp|YBR078W|ECM33_YEAST NCSL01000019.1 34483-36099 ORF Verified GPI-anchored protein of unknown function; possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; phosphorylated in mitochondria; similar to Sps2p; ECM33 h	1	3	3	3	3	2	2	1	1	1	2	3	2	2	1	1	1	2	3	2	2	1	1	1	2	9.3	9.3	9.3	43.858	429	429	0	16.573	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	9.3	7	7	3.5	3.5	3.5	5.8	16617000	9754100	2020300	1730900	82661	1476800	1079100	472820	1661700	975410	202030	173090	8266.1	147680	107910	47282	1044700	886270	596330	0	0	0	454210	2	1	2	0	1	2	2	10				193	8654;14473;14918	True;True;True	9157;15409;15870	32147;32148;32149;54216;54217;54218;54219;54220;54221;54222;55832;55833	28224;28225;47782;47783;47784;47785;47786;47787;47788;49164;49165	28225;47783;49165		
YBR079C	YBR079C	24	24	24	sp|YBR079C|RPG1_YEAST NCSL01000019.1 30943-33846 ORF Verified eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3); subunit of the core complex of eIF3; essential for translation; part of a Prt1p-Rpg1p-Nip1p subcomplex that stimulates bin	1	24	24	24	21	4	3	1	5	5	9	21	4	3	1	5	5	9	21	4	3	1	5	5	9	33.2	33.2	33.2	110.61	967	967	0	61.374	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	29.2	5.7	4.2	1.7	6.8	7.9	10.4	52088000	39760000	2362200	1646700	108430	4842500	1286700	2082200	868140	662660	39370	27444	1807.1	80709	21445	34703	5460800	866540	663810	0	1265900	0	1667400	27	1	1	1	7	6	6	49				194	1222;1938;2951;3981;4118;4550;6983;7649;8030;8259;9201;10104;10610;10640;10841;11082;11284;11878;11959;13071;14065;14202;14361;15438	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1301;2053;3135;4207;4346;4808;7383;8091;8488;8732;9721;10770;10771;11311;11343;11557;11811;12021;12646;12728;13912;14963;15115;15288;16417	4995;4996;7459;7460;7461;7462;7463;11389;15059;15060;15061;15555;15556;17167;17168;26060;28457;29850;29851;30608;34023;37369;37370;39633;39745;40425;40426;40427;41271;41272;41920;43987;43988;43989;43990;43991;43992;44306;48418;52300;53138;53759;53760;53761;53762;53763;57873;57874;57875;57876	4413;6641;6642;6643;6644;6645;10172;13313;13314;13315;13316;13737;13738;15070;22894;24961;26219;26857;29797;32753;32754;34869;34978;35571;35572;36318;36319;36848;38705;38706;38707;38708;38709;38710;38984;42639;42640;46056;46057;46781;46782;47359;47360;47361;47362;50890;50891;50892;50893	4413;6642;10172;13316;13737;15070;22894;24961;26219;26857;29797;32753;34869;34978;35572;36318;36848;38707;38984;42639;46057;46782;47359;50892	203;204	366;780
YBR080C	YBR080C	10	10	10	sp|YBR080C|SEC18_YEAST NCSL01000019.1 28330-30606 ORF Verified AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi, the priming step in homotypic vacuole fusion, autophagy, and protein secretion; releases Sec	1	10	10	10	8	2	2	1	3	2	5	8	2	2	1	3	2	5	8	2	2	1	3	2	5	19.5	19.5	19.5	84.023	758	758	0	25.017	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	17.3	4.6	2.8	1.6	4.6	2.8	9.4	26601000	12546000	2087500	2514400	279790	6232700	1439900	1501000	682080	321690	53525	64473	7174.2	159810	36921	38486	1160300	840590	0	0	0	0	1612100	13	0	2	1	2	2	5	25				195	1251;2385;3567;4331;4703;8050;8617;10459;11188;14042	True;True;True;True;True;True;True;True;True;True	1331;2531;3782;4576;4963;8510;9120;11151;11920;14940	5128;5129;9105;13605;16298;17690;17691;17692;17693;17694;17695;17696;17697;17698;29916;29917;32042;32043;32044;32045;38910;38911;38912;38913;38914;41639;52233;52234	4541;4542;8124;12048;14327;14328;15521;15522;15523;15524;15525;15526;26274;28130;28131;28132;34182;34183;34184;34185;34186;34187;36619;45994;45995	4542;8124;12048;14328;15525;26274;28132;34182;36619;45994	205	597
YBR082C	YBR082C	2	1	1	sp|YBR082C|UBC4_YEAST NCSL01000019.1 22053-22594 ORF Verified Ubiquitin-conjugating enzyme (E2); key E2 partner with Ubc1p for the anaphase-promoting complex (APC); mediates degradation of abnormal or excess proteins, including calmodulin and histone H3; r	1	2	1	1	2	2	2	0	2	2	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	25.7	18.2	18.2	16.456	148	148	0.0011287	2.0039	By MS/MS	By matching	By MS/MS		By matching	By MS/MS	By matching	25.7	25.7	25.7	0	25.7	25.7	7.4	2740200	514950	193210	920830	0	691130	420060	0	685050	128740	48303	230210	0	172780	105010	0	0	0	254170	0	0	0	0	2	0	2	0	0	2	0	6				196	1986;14757	False;True	2108;15703	7634;7635;7636;7637;7638;7639;55271;55272;55273;55274;55275;55276	6789;6790;6791;48666;48667;48668;48669;48670;48671	6791;48670		
YBR084W	YBR084W	8	8	8	sp|YBR084W|MIS1_YEAST NCSL01000019.1 15240-18167 ORF Verified Mitochondrial C1-tetrahydrofolate synthase; involved in interconversion between different oxidation states of tetrahydrofolate (THF); provides activities of formyl-THF synthetase, methenyl-THF c	1	8	8	8	8	0	0	0	0	0	1	8	0	0	0	0	0	1	8	0	0	0	0	0	1	10.7	10.7	10.7	106.16	975	975	0	16.611	By MS/MS						By matching	10.7	0	0	0	0	0	1.1	5406400	5301700	0	0	0	0	0	104630	100120	98180	0	0	0	0	0	1937.6	723770	0	0	0	0	0	0	9	0	0	0	0	0	0	9				197	4300;6039;6510;9033;9034;12618;12639;13801	True;True;True;True;True;True;True;True	4543;6380;6885;9550;9551;13437;13458;14685	16179;16180;22708;24331;33461;33462;33463;46861;46862;46913;51157	14227;14228;19965;21404;29329;29330;41292;41293;41336;45017	14227;19965;21404;29329;29330;41292;41336;45017		
YBR086C	YBR086C	8	8	8	sp|YBR086C|IST2_YEAST NCSL01000019.1 6430-9267 ORF Verified Cortical ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to the plasma membrane (PM) and regulate PM phosphatidyl	1	8	8	8	8	0	1	0	1	1	0	8	0	1	0	1	1	0	8	0	1	0	1	1	0	10.7	10.7	10.7	105.78	945	945	0	11.469	By MS/MS		By matching		By matching	By matching		10.7	0	1.4	0	1.4	1.4	0	8043500	5717900	0	1449800	0	459620	416090	0	201090	142950	0	36246	0	11491	10402	0	780580	0	0	0	0	0	0	9	0	0	0	0	0	0	9				198	5593;6307;11130;11269;12534;14377;16062;16063	True;True;True;True;True;True;True;True	5921;6670;11860;12006;13346;15307;17075;17076	21187;23660;41463;41891;41892;46524;53832;60159;60160;60161;60162;60163	18632;20824;36470;36828;36829;40988;47419;52877;52878	18632;20824;36470;36829;40988;47419;52877;52878		
YBR087W	YBR087W	2	2	2	sp|YBR087W|RFC5_YEAST NCSL01000019.1 4643-5707 ORF Verified Subunit of heteropentameric Replication factor C (RF-C); RF-C is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor f	1	2	2	2	2	0	0	0	1	0	1	2	0	0	0	1	0	1	2	0	0	0	1	0	1	6.8	6.8	6.8	39.941	354	354	0	3.685	By MS/MS				By matching		By MS/MS	6.8	0	0	0	2.8	0	4	3085000	2501700	0	0	0	583310	0	0	140230	113710	0	0	0	26514	0	0	341520	0	0	0	0	0	0	2	0	0	0	0	0	1	3				199	3255;6457	True;True	3452;6828	12487;12488;24169;24170	11077;11078;21263	11078;21263	206	119
